#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) Median_FQ(Centrals) Err+ Err- Median_FQ(Sats) Err+ Err- Median_FQ(Sats_MW) Err+ Err- Median_FQ(Sats_Group) Err+ Err- Median_FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
10.1 0.0375311 0.0608757 0.0315082 0.046589 0.114054 0.0410794 0.0107527 0.0606759 0.0107527 0.119403 0.153324 0.0916252 0 0 0 10 10.2 5707 4975 732 190 128 0
10.3 0.0614178 0.0853618 0.0472669 0.0995146 0.0984236 0.0850218 0.0285714 0.0445993 0.0285714 0.16 0.177209 0.116522 0 0 0 10.2 10.4 3765 3304 461 91 103 0
10.5 0.100272 0.0856596 0.0556296 0.127737 0.1078 0.103465 0 0.08 0 0.235294 0.135076 0.189317 0 0 0 10.4 10.6 2319 2055 264 23 88 0
10.7 0.128373 0.0966695 0.0650563 0.15894 0.126774 0.0911438 0 0.0833333 0 0.28125 0.184267 0.138393 0 0 0 10.6 10.8 1446 1299 147 14 60 0
10.9 0.181024 0.0937752 0.069591 0.215385 0.14399 0.162051 0 0 0 0.285714 0.166667 0.18894 0 0 0 10.8 11 883 799 84 1 35 0
11.1 0.220903 0.0933831 0.0836028 0.236842 0.129825 0.129699 0 0 0 0.285714 0.142857 0.174603 0 0 0 11 11.2 469 425 44 1 21 0
11.3 0.254545 0.0929723 0.0974026 0.416667 0.138889 0.194444 0 0 0 0.5 0.125 0.25 0 0 0 11.2 11.4 206 196 10 0 8 0
11.5 0.25 0.0914634 0.101852 0.25 0.25 0.25 0 0 0 0.333333 0.166667 0.333333 0 0 0 11.4 11.6 55 52 3 0 2 0
11.7 0.272727 0.181818 0.12987 0.5 0.166667 0.5 0 0 0 0.5 0.5 0.5 0 0 0 11.6 11.8 14 10 4 0 3 0
11.9 0 0.428571 0 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 3 3 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
