# downloaded from http://dustpedia.astro.noa.gr
#Name,MH2-r25,err-MH2-r25,type MH2,
#,Msun,Msun,DET=0/UL=-1,
NGC1365,1.01E+10,3.03E+09,0,
NGC1427A,nan,nan,nan,
NGC1436,7.97E+07,0.00E+00,0,
NGC1437B,nan,nan,nan,
NGC1512,nan,nan,nan,
NGC1566,2.40E+09,1.02E+09,0,
NGC1569,7.10E+06,2.60E+06,0,
NGC1617,nan,nan,nan,
NGC1800,nan,nan,nan,
NGC1808,3.99E+10,1.20E+10,0,
NGC1924,nan,nan,nan,
NGC2146,3.40E+10,1.08E+10,0,
NGC2273,1.53E+09,5.20E+08,0,
NGC2403,1.79E+08,5.67E+07,0,
NGC2798,1.91E+09,6.20E+08,0,
NGC2841,1.67E+08,0.00E+00,-1,
NGC2907,nan,nan,nan,
NGC2976,1.59E+07,5.98E+06,0,
NGC2992,9.70E+08,4.12E+08,0,
NGC2993,nan,nan,nan,
NGC3031,1.32E+08,4.02E+07,0,
NGC3034,3.61E+09,1.14E+09,0,
NGC3049,1.15E+09,5.46E+08,0,
NGC3077,2.93E+07,1.00E+07,0,
NGC3079,1.08E+10,3.41E+09,0,
NGC3147,1.36E+10,4.42E+09,0,
NGC3155,nan,nan,nan,
NGC3182,3.29E+08,1.06E+08,0,
NGC3184,9.75E+08,3.39E+08,0,
NGC3185,4.72E+08,1.85E+08,0,
NGC3187,nan,nan,nan,
NGC3190,3.56E+09,0.00E+00,0,
NGC3198,2.04E+08,8.67E+07,0,
NGC3245A,nan,nan,nan,
NGC3252,nan,nan,nan,
NGC3254,1.28E+09,0.00E+00,-1,
NGC3256,7.77E+10,4.53E+10,0,
NGC3277,4.72E+08,2.12E+08,0,
NGC3287,1.26E+08,0.00E+00,-1,
NGC3294,1.32E+09,2.07E+09,0,
NGC3338,6.47E+08,2.12E+08,0,
NGC3346,2.66E+08,1.09E+08,0,
NGC3351,1.24E+09,3.98E+08,0,
NGC3353,8.06E+07,3.17E+07,0,
NGC3364,nan,nan,nan,
NGC3370,1.62E+09,5.78E+08,0,
NGC3380,nan,nan,nan,
NGC3381,nan,nan,nan,
NGC3403,nan,nan,nan,
NGC3424,4.62E+08,0.00E+00,-1,
NGC3430,5.39E+09,0.00E+00,-1,
NGC3437,1.49E+09,4.55E+08,0,
NGC3440,nan,nan,nan,
NGC3445,3.00E+07,9.03E+06,0,
NGC3448,4.96E+08,0.00E+00,-1,
NGC3454,nan,nan,nan,
NGC3455,nan,nan,nan,
NGC3485,5.75E+08,3.07E+08,0,
NGC3488,nan,nan,nan,
NGC3501,5.15E+08,2.22E+08,0,
NGC3504,3.46E+09,1.39E+09,0,
NGC3512,5.08E+08,2.16E+08,0,
NGC3521,3.37E+09,1.13E+09,0,
NGC3526,9.25E+07,8.21E+07,0,
NGC3547,nan,nan,nan,
NGC3592,nan,nan,nan,
NGC3596,2.21E+09,7.31E+08,0,
NGC3620,5.75E+09,1.73E+09,0,
NGC3621,nan,nan,nan,
NGC3622,nan,nan,nan,
NGC3627,4.93E+09,1.56E+09,0,
NGC3628,7.33E+09,2.32E+09,0,
NGC3629,nan,nan,nan,
NGC3631,3.17E+08,1.06E+08,0,
NGC3655,1.30E+09,3.90E+08,0,
NGC3659,1.31E+08,3.99E+07,0,
NGC3666,4.21E+08,1.26E+08,0,
NGC3681,2.64E+08,8.06E+07,0,
NGC3683,3.04E+09,1.05E+09,0,
NGC3684,5.10E+08,2.13E+08,0,
NGC3686,5.96E+08,2.07E+08,0,
NGC3691,nan,nan,nan,
NGC3692,1.86E+09,0.00E+00,-1,
NGC3718,1.73E+09,0.00E+00,-1,
NGC3729,9.43E+08,3.14E+08,0,
NGC3755,nan,nan,nan,
NGC3756,4.33E+08,1.62E+08,0,
NGC3794,nan,nan,nan,
NGC3795,nan,nan,nan,
NGC3813,1.12E+09,3.69E+08,0,
NGC3846A,nan,nan,nan,
NGC3898,1.37E+09,0.00E+00,-1,
NGC3938,1.62E+09,5.24E+08,0,
NGC3952,nan,nan,nan,
NGC3953,7.45E+08,3.11E+08,0,
NGC3982,1.35E+09,4.50E+08,0,
NGC4013,2.03E+09,6.09E+08,0,
NGC4030,3.86E+09,1.50E+09,0,
NGC4032,8.39E+08,0.00E+00,-1,
NGC4037,nan,nan,nan,
NGC4045,4.02E+09,1.24E+09,0,
NGC4051,7.86E+08,2.57E+08,0,
NGC4067,8.03E+08,4.45E+08,0,
NGC4100,1.85E+09,5.71E+08,0,
NGC4102,1.89E+09,6.08E+08,0,
NGC4116,3.96E+09,8.61E+09,0,
NGC4123,4.74E+08,2.30E+08,0,
NGC4144,1.93E+07,7.48E+06,0,
NGC4151,1.21E+07,5.71E+06,0,
NGC4152,1.51E+09,4.53E+08,0,
NGC4165,nan,nan,nan,
NGC4178,3.80E+08,6.84E+08,0,
NGC4180,nan,nan,nan,
NGC4183,nan,nan,nan,
NGC4189,5.47E+08,2.02E+08,0,
NGC4192,1.29E+09,4.92E+08,0,
NGC4193,nan,nan,nan,
NGC4194,2.13E+09,6.94E+08,0,
NGC4197,nan,nan,nan,
NGC4206,3.33E+08,8.10E+08,0,
NGC4207,1.86E+08,9.13E+07,0,
NGC4212,1.35E+09,7.07E+08,0,
NGC4214,6.64E+06,2.46E+06,0,
NGC4216,2.85E+08,5.56E+08,0,
NGC4217,4.96E+08,1.96E+08,0,
NGC4222,7.16E+08,0.00E+00,-1,
NGC4224,nan,nan,nan,
NGC4234,1.95E+08,6.13E+07,0,
NGC4235,1.86E+08,0.00E+00,-1,
NGC4236,2.00E+07,0.00E+00,-1,
NGC4237,2.46E+08,2.87E+08,0,
NGC4244,1.06E+08,3.48E+07,0,
NGC4252,nan,nan,nan,
NGC4254,3.40E+09,1.13E+09,0,
NGC4258,1.73E+09,5.55E+08,0,
NGC4260,3.25E+09,0.00E+00,-1,
NGC4266,nan,nan,nan,
NGC4273,1.82E+09,5.93E+08,0,
NGC4276,nan,nan,nan,
NGC4287,nan,nan,nan,
NGC4289,nan,nan,nan,
NGC4294,4.38E+08,0.00E+00,-1,
NGC4299,1.57E+07,4.75E+06,0,
NGC4300,3.22E+08,3.22E+08,0,
NGC4302,8.15E+08,3.38E+08,0,
NGC4303A,nan,nan,nan,
NGC4307,8.28E+08,2.91E+08,0,
NGC4312,4.00E+08,1.65E+08,0,
NGC4313,2.49E+08,8.67E+07,0,
NGC4316,3.14E+08,2.43E+08,0,
NGC4321,5.80E+09,2.22E+09,0,
NGC4330,2.73E+08,1.37E+08,0,
NGC4343,1.71E+09,0.00E+00,-1,
NGC4351,8.31E+07,0.00E+00,-1,
NGC4353,nan,nan,nan,
NGC4355,6.90E+08,2.49E+08,0,
NGC4356,nan,nan,nan,
NGC4359,1.06E+08,2.26E+08,0,
NGC4370,6.86E+08,0.00E+00,-1,
NGC4376,nan,nan,nan,
NGC4378,2.53E+09,0.00E+00,-1,
NGC4380,3.84E+08,1.42E+08,0,
NGC4388,6.06E+08,2.89E+08,0,
NGC4390,6.86E+08,0.00E+00,-1,
NGC4396,2.25E+08,2.02E+08,0,
NGC4402,7.47E+08,3.89E+08,0,
NGC4409,1.99E+08,9.14E+07,0,
NGC4411A,nan,nan,nan,
NGC4412,8.33E+08,4.63E+08,0,
NGC4413,3.91E+08,0.00E+00,-1,
NGC4416,7.43E+08,2.66E+08,0,
NGC4419,2.17E+09,7.89E+08,0,
NGC4423,5.24E+08,2.85E+08,0,
NGC4424,2.06E+07,6.22E+06,0,
NGC4430,8.00E+08,4.84E+08,0,
NGC4437,2.77E+08,2.39E+08,0,
NGC4438,7.22E+08,4.92E+08,0,
NGC4445,nan,nan,nan,
NGC4449,1.13E+07,4.00E+06,0,
NGC4450,1.05E+09,3.81E+08,0,
NGC4451,4.25E+08,2.29E+08,0,
NGC4470,1.79E+08,9.93E+07,0,
NGC4480,6.39E+08,3.66E+08,0,
NGC4491,5.16E+06,4.79E+06,0,
NGC4492,5.16E+08,3.21E+08,0,
NGC4496A,9.33E+07,5.13E+07,0,
NGC4498,6.73E+08,0.00E+00,-1,
NGC4501,3.06E+09,1.03E+09,0,
NGC4502,nan,nan,nan,
NGC4506,nan,nan,nan,
NGC4519,1.29E+08,5.87E+07,0,
NGC4522,4.35E+08,1.86E+08,0,
NGC4525,3.90E+07,7.80E+07,0,
NGC4527,4.64E+09,1.49E+09,0,
NGC4532,5.83E+07,2.65E+07,0,
NGC4533,nan,nan,nan,
NGC4535,2.66E+09,1.29E+09,0,
NGC4536,1.91E+09,6.88E+08,0,
NGC4559,2.61E+08,8.90E+07,0,
NGC4561,5.77E+08,0.00E+00,-1,
NGC4562,nan,nan,nan,
NGC4565,1.00E+09,3.12E+08,0,
NGC4569,3.64E+09,1.11E+09,0,
NGC4571,9.34E+08,2.80E+08,0,
NGC4579,1.93E+10,1.51E+10,0,
NGC4580,6.08E+08,0.00E+00,-1,
NGC4584,nan,nan,nan,
NGC4586,1.29E+08,3.50E+08,0,
NGC4591,nan,nan,nan,
NGC4592,nan,nan,nan,
NGC4594,2.20E+08,1.28E+08,-1,
NGC4595,1.58E+08,8.14E+07,0,
NGC4606,nan,nan,nan,
NGC4607,6.84E+08,2.46E+08,0,
NGC4618,nan,nan,nan,
NGC4625,6.16E+07,2.41E+07,0,
NGC4629,nan,nan,nan,
NGC4630,3.54E+08,1.54E+08,0,
NGC4631,1.24E+09,4.19E+08,0,
NGC4633,nan,nan,nan,
NGC4639,2.19E+09,0.00E+00,-1,
NGC4651,2.65E+08,1.19E+08,0,
NGC4654,2.30E+10,9.46E+09,0,
NGC4656,2.82E+07,9.37E+06,-1,
NGC4666,2.95E+09,9.29E+08,0,
NGC4668,nan,nan,nan,
NGC4688,1.12E+08,0.00E+00,0,
NGC4689,4.46E+08,5.30E+08,0,
NGC4698,1.29E+09,0.00E+00,-1,
NGC4701,7.47E+07,3.41E+07,0,
NGC4713,2.60E+08,1.06E+08,0,
NGC4725,5.55E+08,6.48E+08,0,
NGC4731,1.00E+08,1.09E+08,0,
NGC4736,4.06E+08,1.28E+08,0,
NGC4746,8.60E+08,2.74E+08,0,
NGC4747,nan,nan,nan,
NGC4758,nan,nan,nan,
NGC4771,3.58E+08,1.39E+08,0,
NGC4772,1.25E+09,0.00E+00,-1,
NGC4775,2.65E+07,1.81E+07,0,
NGC4779,3.91E+09,0.00E+00,-1,
NGC4791,nan,nan,nan,
NGC4793,4.07E+08,1.67E+08,0,
NGC4799,1.60E+09,0.00E+00,-1,
NGC4808,3.18E+08,9.96E+07,0,
NGC4826,1.06E+09,3.37E+08,0,
NGC4845,8.69E+08,4.91E+08,0,
NGC4904,2.48E+08,9.98E+07,0,
NGC4941,5.00E+08,2.09E+08,0,
NGC4945,7.65E+09,2.33E+09,0,
NGC4961,2.50E+08,0.00E+00,-1,
NGC4981,8.90E+08,3.21E+08,0,
NGC5012,nan,nan,nan,
NGC5014,5.65E+07,0.00E+00,-1,
NGC5016,1.39E+09,0.00E+00,0,
NGC5023,5.38E+06,0.00E+00,-1,
NGC5033,3.13E+09,9.96E+08,0,
NGC5055,4.21E+09,1.34E+09,0,
NGC5116,nan,nan,nan,
NGC5117,nan,nan,nan,
NGC5145,7.46E+09,2.42E+09,0,
NGC5147,1.76E+08,1.19E+08,0,
NGC5236,7.13E+09,2.25E+09,0,
NGC5240,nan,nan,nan,
NGC5248,1.23E+09,4.12E+08,0,
NGC5290,nan,nan,nan,
NGC5300,1.69E+08,1.12E+08,0,
NGC5301,5.13E+08,2.33E+08,0,
NGC5334,7.11E+08,4.22E+08,0,
NGC5347,4.88E+08,1.55E+08,0,
NGC5348,nan,nan,nan,
NGC5350,nan,nan,nan,
NGC5356,2.71E+08,1.52E+08,0,
NGC5364,1.15E+08,4.86E+07,0,
NGC5398,nan,nan,nan,
NGC5457,3.51E+09,1.05E+09,0,
NGC5474,6.22E+06,0.00E+00,-1,
NGC5480,nan,nan,nan,
NGC5486,3.02E+07,0.00E+00,-1,
NGC5496,1.59E+08,0.00E+00,-1,
NGC5506,3.58E+08,0.00E+00,-1,
NGC5529,nan,nan,nan,
NGC5560,4.15E+08,1.72E+08,0,
NGC5566,9.63E+08,3.30E+08,0,
NGC5569,nan,nan,nan,
NGC5577,1.22E+08,1.02E+08,0,
NGC5584,1.53E+09,6.50E+08,0,
NGC5645,1.92E+08,0.00E+00,-1,
NGC5667,nan,nan,nan,
NGC5668,1.34E+08,8.54E+07,0,
NGC5669,5.82E+07,3.09E+07,0,
NGC5690,9.83E+09,4.17E+09,0,
NGC5691,1.75E+09,1.02E+09,0,
NGC5705,nan,nan,nan,
NGC5713,6.24E+08,2.01E+08,0,
NGC5719,1.32E+10,4.00E+09,0,
NGC5728,8.07E+09,0.00E+00,-1,
NGC5740,3.74E+07,1.26E+07,0,
NGC5746,nan,nan,nan,
NGC5777,nan,nan,nan,
NGC5899,nan,nan,nan,
NGC5907,1.68E+09,5.75E+08,0,
NGC6143,nan,nan,nan,
NGC6221,1.15E+10,6.71E+09,0,
NGC6300,nan,nan,nan,
NGC6814,7.07E+08,2.36E+08,0,
NGC6946,8.68E+09,2.74E+09,0,
NGC7090,nan,nan,nan,
NGC7172,2.76E+09,8.78E+08,0,
NGC7213,2.90E+10,1.23E+10,0,
NGC7314,5.56E+09,0.00E+00,-1,
NGC7320,nan,nan,nan,
NGC7331,5.31E+08,1.70E+08,0,
NGC7463,nan,nan,nan,
NGC7552,2.21E+10,6.64E+09,0,
NGC7582,1.19E+10,3.58E+09,0,
NGC7625,1.16E+09,3.90E+08,0,
NGC7689,nan,nan,nan,
NGC7690,nan,nan,nan,
NGC7694,nan,nan,nan,
NGC7716,nan,nan,nan,
NGC7721,1.41E+09,4.30E+08,0,
NGC7755,nan,nan,nan,
NGC7757,nan,nan,nan,
NGC7764,nan,nan,nan,
NGC7793,1.25E+08,4.22E+07,0,
PGC042160,nan,nan,nan,
PGC043526,nan,nan,nan,
PGC044532,nan,nan,nan,
UGC00313,nan,nan,nan,
UGC02392,nan,nan,nan,
UGC02826,nan,nan,nan,
UGC03016,nan,nan,nan,
UGC03701,nan,nan,nan,
UGC04305,1.67E+07,0.00E+00,-1,
UGC04549,nan,nan,nan,
UGC04684,nan,nan,nan,
UGC05612,nan,nan,nan,
UGC05689,nan,nan,nan,
UGC05720,1.53E+09,7.28E+08,0,
UGC05958,nan,nan,nan,
UGC05990,nan,nan,nan,
UGC06023,nan,nan,nan,
UGC06575,nan,nan,nan,
UGC06879,nan,nan,nan,
UGC06919,nan,nan,nan,
UGC07035,nan,nan,nan,
UGC07086,nan,nan,nan,
UGC07089,nan,nan,nan,
UGC07184,nan,nan,nan,
UGC07321,1.76E+08,0.00E+00,-1,
UGC07387,nan,nan,nan,
UGC07422,nan,nan,nan,
UGC07522,nan,nan,nan,
UGC07579,nan,nan,nan,
UGC07700,nan,nan,nan,
UGC07802,nan,nan,nan,
UGC07982,nan,nan,nan,
UGC07991,nan,nan,nan,
UGC08032,nan,nan,nan,
UGC08042,nan,nan,nan,
UGC08246,nan,nan,nan,
UGC08630,nan,nan,nan,
UGC08693,nan,nan,nan,
UGC08756,nan,nan,nan,
UGC09242,nan,nan,nan,
UGC09299,nan,nan,nan,
UGC09310,nan,nan,nan,
UGC09470,nan,nan,nan,
UGC12709,nan,nan,nan,
